Name, Email, Coupon
John Doe, auraplus699@gmail.com, JOHN1000
Jane Smith, auraplus699@gmail.com, JANE2000
Bob Johnson, auraplus699@gmail.com, BOB3000
Alice Williams, auraplus699@gmail.com, ALICE4000
Charlie Brown, auraplus699@gmail.com, CHARLIE5000
David Davis, auraplus699@gmail.com, DAVID6000
Eva Evans, auraplus699@gmail.com, EVA7000
Frank Fisher, auraplus699@gmail.com, FRANK8000
Grace Grace, auraplus699@gmail.com, GRACE9000
Hank Henderson, auraplus699@gmail.com, HANK10000
Ivy Johnson, auraplus699@gmail.com, IVY11000
Jack King, auraplus699@gmail.com, JACK12000
Kyle Larson, auraplus699@gmail.com, KYLE13000
Liam Martinez, auraplus699@gmail.com, LIAM14000
Mia Miller, auraplus699@gmail.com, MIA15000
Noah Nelson, auraplus699@gmail.com, NOAH16000
Owen Ortiz, auraplus699@gmail.com, OWEN17000
Piper Patel, auraplus699@gmail.com, PIPER18000
Emily Evans, auraplus699@gmail.com, EMILY19000
Michael Moore, auraplus699@gmail.com, MICHAEL20000
